cat_crb,cat_fert,cat_ccr,tillage,climBeckGroup,area,SOC_mean,yield,ndm_loss_mean,nloss_kgha_mean,ndm_kgha_mean
BURN,HIFHOF,NOCATCH,TILL_H,oth,4182764,48.44,4.62,2093.5808411215,179.932995860374,1817.01810110688
BURN,HIFHOF,NOCATCH,TILL_H,stme,1036022,86.66,4.96,1945.42926829268,80.550262627949,637.214883320384
BURN,HIFHOF,NOCATCH,TILL_H,temp,3602479,134.55,5.39,7723.05810055866,276.190951585372,496.06063039611
BURN,HIFHOF,NOCATCH,TILL_H,trop,903949,57.1,4.61,2442.41025641026,90.130888982723,197.851896621407
BURN,HIFHOF,NOCATCH,TILL_M,oth,2250928,66.09,3.89,3415.10791366906,1640.99029509766,815.206069750833
BURN,HIFHOF,NOCATCH,TILL_M,stme,872007,113.84,4.41,2236.64464285714,143.026776596873,319.167468362565
BURN,HIFHOF,NOCATCH,TILL_M,temp,128884,131.18,4.49,2145.36216216216,40.9525073663065,125.159227307652
BURN,HIFHOF,NOCATCH,TILL_M,trop,123962,58.79,3.4,573.426470588235,50.5271971995151,248.917974446981
BURN,HIFHOF,NOCATCH,TILL_L,oth,137625,33.44,4.59,5196.70303030303,18.5444610132851,182.336820188938
BURN,HIFHOF,NOCATCH,TILL_L,stme,35182,115.88,6.88,1683.12777777778,136.589088154193,810.642013953649
BURN,HIFHOF,NOCATCH,TILL_L,temp,27900,110.66,6.34,18358.2206896552,18.1728303021223,156.714398869771
BURN,HIFHOF,NOCATCH,TILL_L,trop,196,26.63,2.2,0,0,164.140875133405
BURN,HIFNOF,NOCATCH,TILL_H,oth,24076952,62.15,5.67,12434.2123188406,7.00927376623943,16.8526698219381
BURN,HIFNOF,NOCATCH,TILL_H,stme,18594561,84.33,5.92,9440.51390374331,4.83531560509417,15.2692356212616
BURN,HIFNOF,NOCATCH,TILL_H,temp,35953612,143.45,5.79,14475.1991150442,5.29933526283831,15.9597793947092
BURN,HIFNOF,NOCATCH,TILL_H,trop,311539,54.91,5.02,2198.73157894737,13.7820104031262,20.1593777345508
BURN,HIFNOF,NOCATCH,TILL_M,oth,24334363,64.28,5.49,19857.6738636364,7.00397507274769,18.4480458009688
BURN,HIFNOF,NOCATCH,TILL_M,stme,62237347,75.95,5.59,12903.9882352941,5.25662714579377,18.3370377087005
BURN,HIFNOF,NOCATCH,TILL_M,temp,429216,133.39,5.66,23428.3571428571,4.53477257603008,25.0130740629676
BURN,HIFNOF,NOCATCH,TILL_M,trop,196464,50.72,5.62,3101.86666666667,14.9400582082338,22.1810988439124
BURN,HIFNOF,NOCATCH,TILL_L,oth,2152586,48.95,6.3,50580.6421052632,7.65133838816769,17.128529579784
BURN,HIFNOF,NOCATCH,TILL_L,stme,1666913,98.17,6.91,8125.98095238095,1.09163462395503,16.8398370228967
BURN,HIFNOF,NOCATCH,TILL_L,temp,7843814,106.38,7.18,57362.1095238095,8.88767208781887,17.1319626295425
BURN,MIFHOF,NOCATCH,TILL_H,oth,3043500,32.19,3.53,1711.56,3.7625660324236,58.4104569746795
BURN,MIFHOF,NOCATCH,TILL_H,stme,3396183,62.71,4.05,34134.05625,35.1719464582851,58.8278703566209
BURN,MIFHOF,NOCATCH,TILL_H,temp,147189,106.69,4.2,185.736111111111,7.00646409972099,63.5636052869954
BURN,MIFHOF,NOCATCH,TILL_H,trop,12714,46.72,2.46,10909.375,7.49881937598415,55.7610770129903
BURN,MIFHOF,NOCATCH,TILL_M,oth,478088,42.47,2.53,268.46,10.1575717921003,60.9244785358481
BURN,MIFHOF,NOCATCH,TILL_M,stme,2150473,52.61,2.64,2905.76190476191,2.71177393547591,55.7665885613776
BURN,MIFHOF,NOCATCH,TILL_M,temp,182547,68.89,2.86,519,1.28721738571853,49.5339170245421
BURN,MIFHOF,NOCATCH,TILL_M,trop,529262,49.68,2.57,3683.64166666667,3.46612110832854,56.9964271799934
BURN,MIFHOF,NOCATCH,TILL_L,oth,1533058,42.4,3.02,6366.925,1.65403143846704,49.6752011856674
BURN,MIFHOF,NOCATCH,TILL_L,stme,825287,32.4,3.89,120712.616666667,36.5422606826096,48.8099930301065
BURN,MIFHOF,NOCATCH,TILL_L,temp,5775,94.16,5.43,0,0,63.9403098689758
BURN,MIFNOF,NOCATCH,TILL_H,oth,10359361,42.05,3.91,544.919662921348,2.16097313582011,10.6551884310757
BURN,MIFNOF,NOCATCH,TILL_H,stme,26466184,60.69,4.48,2199.75362694301,3.56698448220781,11.1071404922315
BURN,MIFNOF,NOCATCH,TILL_H,temp,53674604,106.41,4.93,5575.01260869565,3.86935097663028,10.1724715257988
