country_code,country,crop_code,crop_name,Element,Unit,fao_cr_resN
2,Afghanistan,44,Barley,Residues (Crop residues),kg of nutrients,1380965.2676
2,Afghanistan,56,Maize,Residues (Crop residues),kg of nutrients,1863381.3753
2,Afghanistan,79,Millet,Residues (Crop residues),kg of nutrients,101602.196
2,Afghanistan,116,Potatoes,Residues (Crop residues),kg of nutrients,1200040.5244
2,Afghanistan,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,4711482.992
2,Afghanistan,15,Wheat,Residues (Crop residues),kg of nutrients,58333370.3485
3,Albania,44,Barley,Residues (Crop residues),kg of nutrients,112634.3177
3,Albania,176,"Beans, dry",Residues (Crop residues),kg of nutrients,205637.0126
3,Albania,56,Maize,Residues (Crop residues),kg of nutrients,3084065.368
3,Albania,75,Oats,Residues (Crop residues),kg of nutrients,397660.7989
3,Albania,116,Potatoes,Residues (Crop residues),kg of nutrients,463278.5547
3,Albania,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,
3,Albania,71,Rye,Residues (Crop residues),kg of nutrients,31284.2734
3,Albania,83,Sorghum,Residues (Crop residues),kg of nutrients,
3,Albania,236,Soybeans,Residues (Crop residues),kg of nutrients,7026.4006
3,Albania,15,Wheat,Residues (Crop residues),kg of nutrients,3486871.573
4,Algeria,44,Barley,Residues (Crop residues),kg of nutrients,17418786.5474
4,Algeria,176,"Beans, dry",Residues (Crop residues),kg of nutrients,21737.8262
4,Algeria,56,Maize,Residues (Crop residues),kg of nutrients,22404.1224
4,Algeria,75,Oats,Residues (Crop residues),kg of nutrients,1181268.7749
4,Algeria,116,Potatoes,Residues (Crop residues),kg of nutrients,7804129.8738
4,Algeria,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,3954.9645
4,Algeria,83,Sorghum,Residues (Crop residues),kg of nutrients,38363.9352
4,Algeria,15,Wheat,Residues (Crop residues),kg of nutrients,36756649.5649
7,Angola,176,"Beans, dry",Residues (Crop residues),kg of nutrients,7655035.1843
7,Angola,56,Maize,Residues (Crop residues),kg of nutrients,30688595.5299
7,Angola,79,Millet,Residues (Crop residues),kg of nutrients,1055428.416
7,Angola,116,Potatoes,Residues (Crop residues),kg of nutrients,4642623.9344
7,Angola,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,1579715.8736
7,Angola,83,Sorghum,Residues (Crop residues),kg of nutrients,3890948.0388
7,Angola,236,Soybeans,Residues (Crop residues),kg of nutrients,478153.7132
7,Angola,15,Wheat,Residues (Crop residues),kg of nutrients,55523.3539
8,Antigua and Barbuda,56,Maize,Residues (Crop residues),kg of nutrients,777.6293
9,Argentina,44,Barley,Residues (Crop residues),kg of nutrients,44456254.8854
9,Argentina,176,"Beans, dry",Residues (Crop residues),kg of nutrients,5209859.9666
9,Argentina,56,Maize,Residues (Crop residues),kg of nutrients,396164435.4733
9,Argentina,79,Millet,Residues (Crop residues),kg of nutrients,61278.929
9,Argentina,75,Oats,Residues (Crop residues),kg of nutrients,8915456.6289
9,Argentina,116,Potatoes,Residues (Crop residues),kg of nutrients,4088687.0661
9,Argentina,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,14185541.8155
9,Argentina,71,Rye,Residues (Crop residues),kg of nutrients,952701.7839
9,Argentina,83,Sorghum,Residues (Crop residues),kg of nutrients,23397204.6781
9,Argentina,236,Soybeans,Residues (Crop residues),kg of nutrients,682383836.143
9,Argentina,15,Wheat,Residues (Crop residues),kg of nutrients,237243269.4506
1,Armenia,44,Barley,Residues (Crop residues),kg of nutrients,1301413.468
1,Armenia,176,"Beans, dry",Residues (Crop residues),kg of nutrients,31197.2581
1,Armenia,56,Maize,Residues (Crop residues),kg of nutrients,86554.9577
1,Armenia,75,Oats,Residues (Crop residues),kg of nutrients,72947.9237
1,Armenia,116,Potatoes,Residues (Crop residues),kg of nutrients,1089868.7448
1,Armenia,71,Rye,Residues (Crop residues),kg of nutrients,4526.8078
1,Armenia,15,Wheat,Residues (Crop residues),kg of nutrients,2381997.2626
10,Australia,44,Barley,Residues (Crop residues),kg of nutrients,169752538.8341
10,Australia,176,"Beans, dry",Residues (Crop residues),kg of nutrients,475317.5811
10,Australia,56,Maize,Residues (Crop residues),kg of nutrients,3535837.4275
10,Australia,79,Millet,Residues (Crop residues),kg of nutrients,433524.5145
10,Australia,75,Oats,Residues (Crop residues),kg of nutrients,26476987.8531
10,Australia,116,Potatoes,Residues (Crop residues),kg of nutrients,1717158.3382
10,Australia,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,7822143.536
10,Australia,71,Rye,Residues (Crop residues),kg of nutrients,513794.8288
10,Australia,83,Sorghum,Residues (Crop residues),kg of nutrients,10778848.1649
10,Australia,236,Soybeans,Residues (Crop residues),kg of nutrients,915692.1585
10,Australia,15,Wheat,Residues (Crop residues),kg of nutrients,420264681.4815
11,Austria,44,Barley,Residues (Crop residues),kg of nutrients,9057589.1611
11,Austria,176,"Beans, dry",Residues (Crop residues),kg of nutrients,
11,Austria,56,Maize,Residues (Crop residues),kg of nutrients,16349725.0021
11,Austria,79,Millet,Residues (Crop residues),kg of nutrients,119750.5157
11,Austria,75,Oats,Residues (Crop residues),kg of nutrients,811015.4064
11,Austria,116,Potatoes,Residues (Crop residues),kg of nutrients,1147369.7826
11,Austria,71,Rye,Residues (Crop residues),kg of nutrients,1359306.0714
11,Austria,83,Sorghum,Residues (Crop residues),kg of nutrients,174326.7058
11,Austria,236,Soybeans,Residues (Crop residues),kg of nutrients,2442022.4995
11,Austria,15,Wheat,Residues (Crop residues),kg of nutrients,17994943.1608
52,Azerbaijan,44,Barley,Residues (Crop residues),kg of nutrients,10148176.3995
52,Azerbaijan,176,"Beans, dry",Residues (Crop residues),kg of nutrients,76860.1785
52,Azerbaijan,56,Maize,Residues (Crop residues),kg of nutrients,1906340.886
52,Azerbaijan,79,Millet,Residues (Crop residues),kg of nutrients,1836.7969
52,Azerbaijan,75,Oats,Residues (Crop residues),kg of nutrients,109440.3732
52,Azerbaijan,116,Potatoes,Residues (Crop residues),kg of nutrients,2170621.2292
52,Azerbaijan,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,220729.0145
52,Azerbaijan,71,Rye,Residues (Crop residues),kg of nutrients,8336.9635
52,Azerbaijan,83,Sorghum,Residues (Crop residues),kg of nutrients,1829.1639
52,Azerbaijan,236,Soybeans,Residues (Crop residues),kg of nutrients,1588.3792
52,Azerbaijan,15,Wheat,Residues (Crop residues),kg of nutrients,23056342.9961
12,Bahamas,56,Maize,Residues (Crop residues),kg of nutrients,6324.591
13,Bahrain,116,Potatoes,Residues (Crop residues),kg of nutrients,57.2526
16,Bangladesh,44,Barley,Residues (Crop residues),kg of nutrients,4845.2655
16,Bangladesh,176,"Beans, dry",Residues (Crop residues),kg of nutrients,1023100.1447
16,Bangladesh,56,Maize,Residues (Crop residues),kg of nutrients,24184932.8689
16,Bangladesh,79,Millet,Residues (Crop residues),kg of nutrients,177557.792
16,Bangladesh,116,Potatoes,Residues (Crop residues),kg of nutrients,20921027.9661
16,Bangladesh,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,594622496.368
16,Bangladesh,83,Sorghum,Residues (Crop residues),kg of nutrients,1495.9375
16,Bangladesh,236,Soybeans,Residues (Crop residues),kg of nutrients,1585102.1816
16,Bangladesh,15,Wheat,Residues (Crop residues),kg of nutrients,16985558.4334
14,Barbados,176,"Beans, dry",Residues (Crop residues),kg of nutrients,696.4045
14,Barbados,56,Maize,Residues (Crop residues),kg of nutrients,886.7729
57,Belarus,44,Barley,Residues (Crop residues),kg of nutrients,17536625.042
57,Belarus,176,"Beans, dry",Residues (Crop residues),kg of nutrients,2721746.1056
57,Belarus,56,Maize,Residues (Crop residues),kg of nutrients,5722884.2379
57,Belarus,79,Millet,Residues (Crop residues),kg of nutrients,214008.7963
57,Belarus,75,Oats,Residues (Crop residues),kg of nutrients,5021023.2196
57,Belarus,116,Potatoes,Residues (Crop residues),kg of nutrients,12333284.7137
57,Belarus,71,Rye,Residues (Crop residues),kg of nutrients,7526865.1507
57,Belarus,15,Wheat,Residues (Crop residues),kg of nutrients,33500628.4001
255,Belgium,44,Barley,Residues (Crop residues),kg of nutrients,4291664.8352
255,Belgium,176,"Beans, dry",Residues (Crop residues),kg of nutrients,3678.7383
255,Belgium,56,Maize,Residues (Crop residues),kg of nutrients,4741159.123
255,Belgium,75,Oats,Residues (Crop residues),kg of nutrients,183519.5436
255,Belgium,116,Potatoes,Residues (Crop residues),kg of nutrients,6425824.1929
255,Belgium,71,Rye,Residues (Crop residues),kg of nutrients,24398.2646
255,Belgium,15,Wheat,Residues (Crop residues),kg of nutrients,20733579.7256
15,Belgium-Luxembourg,44,Barley,Residues (Crop residues),kg of nutrients,
15,Belgium-Luxembourg,176,"Beans, dry",Residues (Crop residues),kg of nutrients,
15,Belgium-Luxembourg,56,Maize,Residues (Crop residues),kg of nutrients,
15,Belgium-Luxembourg,75,Oats,Residues (Crop residues),kg of nutrients,
15,Belgium-Luxembourg,116,Potatoes,Residues (Crop residues),kg of nutrients,
15,Belgium-Luxembourg,71,Rye,Residues (Crop residues),kg of nutrients,
15,Belgium-Luxembourg,15,Wheat,Residues (Crop residues),kg of nutrients,
23,Belize,176,"Beans, dry",Residues (Crop residues),kg of nutrients,98578.6749
23,Belize,56,Maize,Residues (Crop residues),kg of nutrients,750035.1047
23,Belize,116,Potatoes,Residues (Crop residues),kg of nutrients,3401.8185
23,Belize,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,221082.4818
23,Belize,83,Sorghum,Residues (Crop residues),kg of nutrients,115956.7429
23,Belize,236,Soybeans,Residues (Crop residues),kg of nutrients,156782.4763
53,Benin,176,"Beans, dry",Residues (Crop residues),kg of nutrients,1433446.1099
53,Benin,56,Maize,Residues (Crop residues),kg of nutrients,15273404.7259
53,Benin,79,Millet,Residues (Crop residues),kg of nutrients,304300.8301
53,Benin,116,Potatoes,Residues (Crop residues),kg of nutrients,2569.8081
53,Benin,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,3989822.8062
53,Benin,83,Sorghum,Residues (Crop residues),kg of nutrients,1848915.8285
53,Benin,236,Soybeans,Residues (Crop residues),kg of nutrients,3222259.6672
17,Bermuda,116,Potatoes,Residues (Crop residues),kg of nutrients,1884.375
18,Bhutan,44,Barley,Residues (Crop residues),kg of nutrients,28851.7592
18,Bhutan,176,"Beans, dry",Residues (Crop residues),kg of nutrients,48336.5096
18,Bhutan,56,Maize,Residues (Crop residues),kg of nutrients,785479.4023
18,Bhutan,79,Millet,Residues (Crop residues),kg of nutrients,20603.7628
18,Bhutan,116,Potatoes,Residues (Crop residues),kg of nutrients,168054.5085
18,Bhutan,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,1066231.0132
18,Bhutan,236,Soybeans,Residues (Crop residues),kg of nutrients,5917.8953
18,Bhutan,15,Wheat,Residues (Crop residues),kg of nutrients,53001.286
19,Bolivia (Plurinational State of),44,Barley,Residues (Crop residues),kg of nutrients,772810.7428
19,Bolivia (Plurinational State of),176,"Beans, dry",Residues (Crop residues),kg of nutrients,1151977.236
19,Bolivia (Plurinational State of),56,Maize,Residues (Crop residues),kg of nutrients,9309727.8034
19,Bolivia (Plurinational State of),75,Oats,Residues (Crop residues),kg of nutrients,281116.1394
19,Bolivia (Plurinational State of),116,Potatoes,Residues (Crop residues),kg of nutrients,5067639.1523
19,Bolivia (Plurinational State of),27,"Rice, paddy",Residues (Crop residues),kg of nutrients,6958292.1671
19,Bolivia (Plurinational State of),71,Rye,Residues (Crop residues),kg of nutrients,4534.8646
19,Bolivia (Plurinational State of),83,Sorghum,Residues (Crop residues),kg of nutrients,6813927.0452
19,Bolivia (Plurinational State of),236,Soybeans,Residues (Crop residues),kg of nutrients,41161225.5286
19,Bolivia (Plurinational State of),15,Wheat,Residues (Crop residues),kg of nutrients,2483007.0156
80,Bosnia and Herzegovina,44,Barley,Residues (Crop residues),kg of nutrients,924845.3482
80,Bosnia and Herzegovina,176,"Beans, dry",Residues (Crop residues),kg of nutrients,93303.4459
80,Bosnia and Herzegovina,56,Maize,Residues (Crop residues),kg of nutrients,6107491.7601
80,Bosnia and Herzegovina,75,Oats,Residues (Crop residues),kg of nutrients,294316.3737
80,Bosnia and Herzegovina,116,Potatoes,Residues (Crop residues),kg of nutrients,1082647.1858
80,Bosnia and Herzegovina,71,Rye,Residues (Crop residues),kg of nutrients,118626.3441
80,Bosnia and Herzegovina,236,Soybeans,Residues (Crop residues),kg of nutrients,190723.9223
80,Bosnia and Herzegovina,15,Wheat,Residues (Crop residues),kg of nutrients,3699549.8511
20,Botswana,56,Maize,Residues (Crop residues),kg of nutrients,346306.9078
20,Botswana,79,Millet,Residues (Crop residues),kg of nutrients,19327.6758
20,Botswana,83,Sorghum,Residues (Crop residues),kg of nutrients,466015.7612
20,Botswana,15,Wheat,Residues (Crop residues),kg of nutrients,
21,Brazil,44,Barley,Residues (Crop residues),kg of nutrients,3860767.0511
21,Brazil,176,"Beans, dry",Residues (Crop residues),kg of nutrients,36339997.7397
21,Brazil,56,Maize,Residues (Crop residues),kg of nutrients,801499063.8642
21,Brazil,75,Oats,Residues (Crop residues),kg of nutrients,8105224.7159
21,Brazil,116,Potatoes,Residues (Crop residues),kg of nutrients,6195167.5002
21,Brazil,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,134924417.6189
21,Brazil,71,Rye,Residues (Crop residues),kg of nutrients,96123.7549
21,Brazil,83,Sorghum,Residues (Crop residues),kg of nutrients,23313806.0031
21,Brazil,236,Soybeans,Residues (Crop residues),kg of nutrients,1396524794.8531
21,Brazil,15,Wheat,Residues (Crop residues),kg of nutrients,58029995.1532
26,Brunei Darussalam,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,35757.7601
27,Bulgaria,44,Barley,Residues (Crop residues),kg of nutrients,7018005.0542
27,Bulgaria,176,"Beans, dry",Residues (Crop residues),kg of nutrients,33276.4361
27,Bulgaria,56,Maize,Residues (Crop residues),kg of nutrients,20772522.2982
27,Bulgaria,79,Millet,Residues (Crop residues),kg of nutrients,51140.7492
27,Bulgaria,75,Oats,Residues (Crop residues),kg of nutrients,363494.2318
27,Bulgaria,116,Potatoes,Residues (Crop residues),kg of nutrients,501873.949
27,Bulgaria,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,652518.5163
27,Bulgaria,71,Rye,Residues (Crop residues),kg of nutrients,204597.279
27,Bulgaria,83,Sorghum,Residues (Crop residues),kg of nutrients,129602.8243
27,Bulgaria,236,Soybeans,Residues (Crop residues),kg of nutrients,310024.4336
27,Bulgaria,15,Wheat,Residues (Crop residues),kg of nutrients,76347283.4265
233,Burkina Faso,56,Maize,Residues (Crop residues),kg of nutrients,15468938.2509
233,Burkina Faso,79,Millet,Residues (Crop residues),kg of nutrients,10374466.946
233,Burkina Faso,116,Potatoes,Residues (Crop residues),kg of nutrients,16512.838
233,Burkina Faso,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,5674626.6442
233,Burkina Faso,83,Sorghum,Residues (Crop residues),kg of nutrients,26637353.5475
233,Burkina Faso,236,Soybeans,Residues (Crop residues),kg of nutrients,397145.1915
29,Burundi,176,"Beans, dry",Residues (Crop residues),kg of nutrients,3833908.0862
29,Burundi,56,Maize,Residues (Crop residues),kg of nutrients,2549344.4352
29,Burundi,79,Millet,Residues (Crop residues),kg of nutrients,123295.8419
29,Burundi,116,Potatoes,Residues (Crop residues),kg of nutrients,602520.1863
29,Burundi,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,1594079.005
29,Burundi,83,Sorghum,Residues (Crop residues),kg of nutrients,366812.273
29,Burundi,236,Soybeans,Residues (Crop residues),kg of nutrients,72285.4116
29,Burundi,15,Wheat,Residues (Crop residues),kg of nutrients,117649.7301
35,Cabo Verde,56,Maize,Residues (Crop residues),kg of nutrients,173715.7789
35,Cabo Verde,116,Potatoes,Residues (Crop residues),kg of nutrients,9407.8111
115,Cambodia,176,"Beans, dry",Residues (Crop residues),kg of nutrients,923678.6655
115,Cambodia,56,Maize,Residues (Crop residues),kg of nutrients,6261161.883
115,Cambodia,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,136518007.2395
115,Cambodia,236,Soybeans,Residues (Crop residues),kg of nutrients,2688722.0506
32,Cameroon,176,"Beans, dry",Residues (Crop residues),kg of nutrients,4427757.2317
32,Cameroon,56,Maize,Residues (Crop residues),kg of nutrients,21992804.319
32,Cameroon,79,Millet,Residues (Crop residues),kg of nutrients,1199452.863
32,Cameroon,116,Potatoes,Residues (Crop residues),kg of nutrients,753321.76
32,Cameroon,27,"Rice, paddy",Residues (Crop residues),kg of nutrients,7945295.904
32,Cameroon,83,Sorghum,Residues (Crop residues),kg of nutrients,18244463.9979
32,Cameroon,236,Soybeans,Residues (Crop residues),kg of nutrients,463335.1153
32,Cameroon,15,Wheat,Residues (Crop residues),kg of nutrients,13219.2423
33,Canada,44,Barley,Residues (Crop residues),kg of nutrients,95753536.4828
33,Canada,176,"Beans, dry",Residues (Crop residues),kg of nutrients,2181564.4272
33,Canada,56,Maize,Residues (Crop residues),kg of nutrients,110658682.7746
33,Canada,75,Oats,Residues (Crop residues),kg of nutrients,39119687.6957
