gaul_name0;gaul_asap0_id;fao_country;fao_country_code
Abyei;73;Sudan (former);206
Afghanistan;67;Afghanistan;2
Aksai Chin;204;China, mainland;41
Albania;124;Albania;3
Algeria;105;Algeria;4
Andorra;6;France;68
Angola;92;Angola;7
Argentina;166;Argentina;9
Armenia;220;Armenia;1
Arunachal Pradesh;72;China, mainland;41
Australia;208;Australia;10
Austria;147;Austria;11
Azerbaijan;85;Azerbaijan;52
Bahamas;76;Bahamas;12
Bahrain;16;Bahrain;13
Bangladesh;20;Bangladesh;16
Belarus;2;Belarus;57
Belgium;127;Belgium;255
Belize;12;Belize;23
Benin;195;Benin;53
Bhutan;103;Bhutan;18
Bolivia;108;Bolivia (Plurinational State of);19
Bosnia and Herzegovina;202;Bosnia and Herzegovina;80
Botswana;77;Botswana;20
Brazil;191;Brazil;21
Brunei Darussalam;203;Brunei Darussalam;26
Bulgaria;87;Bulgaria;27
Burkina Faso;219;Burkina Faso;233
Burundi;150;Burundi;29
CÌ«te d'Ivoire;112;C™te d'Ivoire;107
Cambodia;132;Cambodia;115
Cameroon;135;Cameroon;32
Canada;19;Canada;33
Central African Republic;61;Central African Republic;37
Chad;212;Chad;39
Chile;1;Chile;40
China;62;China, mainland;41
China/India;109;China, mainland;41
Colombia;192;Colombia;44
Comoros;30;Comoros;45
Congo;142;Congo;46
Costa Rica;182;Costa Rica;48
Croatia;4;Croatia;98
Cuba;35;Cuba;49
Cyprus;25;Cyprus;50
Czech Republic;207;Czechoslovakia;51
Dem People's Rep of Korea;161;Democratic People's Republic of Korea;116
Democratic Republic of the Congo;157;Democratic Republic of the Congo;250
Denmark;38;Denmark;54
Djibouti;43;Djibouti;72
Dominica;22;Dominica;55
Dominican Republic;143;Dominican Republic;56
Ecuador;83;Ecuador;58
Egypt;79;Egypt;59
El Salvador;52;El Salvador;60
Equatorial Guinea;196;Equatorial Guinea;61
Eritrea;96;Eritrea;178
Estonia;154;Estonia;63
Ethiopia;185;Ethiopia;238
Falkland Islands (Malvinas);205;Argentina;9
Faroe Islands;8;Faroe Islands;64
Fiji;116;Fiji;66
Finland;23;Finland;67
France;197;France;68
French Guiana;110;French Guiana;69
Gabon;94;Gabon;74
Gambia;131;Gambia;75
Gaza Strip;7;Palestine;299
Georgia;98;Georgia;73
Germany;198;Germany;79
Ghana;66;Ghana;81
Greece;54;Greece;84
Greenland;26;;
Guadeloupe;3;Guadeloupe;87
Guatemala;117;Guatemala;89
Guinea;193;Guinea;90
Guinea-Bissau;180;Guinea-Bissau;175
Guyana;113;Guyana;91
Haiti;68;Haiti;93
Hala'ib triangle;217;Egypt;59
Honduras;100;Honduras;95
Hong Kong;65;China, Hong Kong SAR;96
Hungary;107;Hungary;97
Iceland;136;Iceland;99
Ilemi triangle;21;Sudan (former);206
India;101;India;100
Indonesia;183;Indonesia;101
Iran (Islamic Republic of);128;Iran (Islamic Republic of);102
Iraq;78;Iraq;103
Ireland;167;Ireland;104
Isle of Man;36;United Kingdom;229
Israel;58;Israel;105
Italy;172;Italy;106
