country_code,country,crop_code,crop_name,Element,Unit,Y2018
2,Afghanistan,221,"Almonds, with shell",Area harvested,ha,20053
2,Afghanistan,221,"Almonds, with shell",Production,tonnes,34413
2,Afghanistan,711,"Anise, badian, fennel, coriander",Area harvested,ha,25785
2,Afghanistan,711,"Anise, badian, fennel, coriander",Production,tonnes,18143
2,Afghanistan,515,Apples,Area harvested,ha,31236
2,Afghanistan,515,Apples,Production,tonnes,217192
2,Afghanistan,526,Apricots,Area harvested,ha,10908
2,Afghanistan,526,Apricots,Production,tonnes,18510
2,Afghanistan,44,Barley,Area harvested,ha,84147
2,Afghanistan,44,Barley,Production,tonnes,56781
2,Afghanistan,558,Berries nes,Area harvested,ha,3653
2,Afghanistan,558,Berries nes,Production,tonnes,21776
2,Afghanistan,767,Cotton lint,Production,tonnes,13034
2,Afghanistan,329,Cottonseed,Production,tonnes,25672
2,Afghanistan,569,Figs,Area harvested,ha,1644
2,Afghanistan,569,Figs,Production,tonnes,6073
2,Afghanistan,512,"Fruit, citrus nes",Area harvested,ha,249
2,Afghanistan,512,"Fruit, citrus nes",Production,tonnes,2802
2,Afghanistan,619,"Fruit, fresh nes",Area harvested,ha,8419
2,Afghanistan,619,"Fruit, fresh nes",Production,tonnes,63702
2,Afghanistan,541,"Fruit, stone nes",Area harvested,ha,7391
2,Afghanistan,541,"Fruit, stone nes",Production,tonnes,52171
2,Afghanistan,560,Grapes,Area harvested,ha,87517
2,Afghanistan,560,Grapes,Production,tonnes,984081
2,Afghanistan,333,Linseed,Area harvested,ha,2571
2,Afghanistan,333,Linseed,Production,tonnes,1486
2,Afghanistan,56,Maize,Area harvested,ha,72433
2,Afghanistan,56,Maize,Production,tonnes,106670
2,Afghanistan,568,"Melons, other (inc.cantaloupes)",Area harvested,ha,35055
2,Afghanistan,568,"Melons, other (inc.cantaloupes)",Production,tonnes,329241
2,Afghanistan,79,Millet,Area harvested,ha,3515
2,Afghanistan,79,Millet,Production,tonnes,11640
2,Afghanistan,234,Nuts nes,Area harvested,ha,1553
2,Afghanistan,234,Nuts nes,Production,tonnes,1448
2,Afghanistan,260,Olives,Area harvested,ha,2092
2,Afghanistan,260,Olives,Production,tonnes,7770
2,Afghanistan,403,"Onions, dry",Area harvested,ha,12569
2,Afghanistan,403,"Onions, dry",Production,tonnes,150651
2,Afghanistan,490,Oranges,Area harvested,ha,970
2,Afghanistan,490,Oranges,Production,tonnes,4707
2,Afghanistan,534,Peaches and nectarines,Area harvested,ha,7799
2,Afghanistan,534,Peaches and nectarines,Production,tonnes,47935
2,Afghanistan,521,Pears,Area harvested,ha,1803
2,Afghanistan,521,Pears,Production,tonnes,16351
2,Afghanistan,223,Pistachios,Area harvested,ha,2161
2,Afghanistan,223,Pistachios,Production,tonnes,2734
2,Afghanistan,536,Plums and sloes,Area harvested,ha,4270
2,Afghanistan,536,Plums and sloes,Production,tonnes,29197
2,Afghanistan,116,Potatoes,Area harvested,ha,32400
2,Afghanistan,116,Potatoes,Production,tonnes,615684
2,Afghanistan,211,Pulses nes,Area harvested,ha,91248
2,Afghanistan,211,Pulses nes,Production,tonnes,61778
2,Afghanistan,27,"Rice, paddy",Area harvested,ha,117539
2,Afghanistan,27,"Rice, paddy",Production,tonnes,352177
2,Afghanistan,328,Seed cotton,Area harvested,ha,39496
2,Afghanistan,328,Seed cotton,Production,tonnes,39496
2,Afghanistan,289,Sesame seed,Area harvested,ha,15000
2,Afghanistan,289,Sesame seed,Production,tonnes,32000
2,Afghanistan,723,Spices nes,Area harvested,ha,1168
2,Afghanistan,723,Spices nes,Production,tonnes,5
2,Afghanistan,157,Sugar beet,Area harvested,ha,196
2,Afghanistan,157,Sugar beet,Production,tonnes,5363
2,Afghanistan,156,Sugar cane,Area harvested,ha,1766
2,Afghanistan,156,Sugar cane,Production,tonnes,25421
2,Afghanistan,267,Sunflower seed,Area harvested,ha,248
2,Afghanistan,267,Sunflower seed,Production,tonnes,387
2,Afghanistan,463,"Vegetables, fresh nes",Area harvested,ha,68513
2,Afghanistan,463,"Vegetables, fresh nes",Production,tonnes,591350
2,Afghanistan,222,"Walnuts, with shell",Area harvested,ha,2201
2,Afghanistan,222,"Walnuts, with shell",Production,tonnes,10804
2,Afghanistan,567,Watermelons,Area harvested,ha,35795
2,Afghanistan,567,Watermelons,Production,tonnes,381238
