no;SPAM_short_name;SPAM_long_name;FAONAMES;FAOCODE;GROUP
1;WHEA;wheat;wheat;15;cereals
2;RICE;rice;rice;27;cereals
4;BARL;barley;barley;44;cereals
3;MAIZ;maize;maize;56;cereals
8;OCER;other cereals;other cereals 1;68;cereals
8;OCER;other cereals;rye;71;cereals
8;OCER;other cereals;oats;75;cereals
5;PMIL;pearl millet;millet;79;cereals
6;SMIL;small millet;millet;79;cereals
7;SORG;sorghum;sorghum;83;cereals
8;OCER;other cereals;buckwheat;89;cereals
8;OCER;other cereals;quinoa;92;cereals
8;OCER;other cereals;fonio;94;cereals
8;OCER;other cereals;triticale;97;cereals
8;OCER;other cereals;canary seed;101;cereals
8;OCER;other cereals;grain, mixed;103;cereals
8;OCER;other cereals;cereals nes;108;cereals
9;POTA;potato;potato;116;roots&tubers or starchy roots
10;SWPO;sweet potato;sweet potato;122;roots&tubers or starchy roots
12;CASS;cassava;cassava;125;roots&tubers or starchy roots
13;ORTS;other roots;yautia cocoyam;135;roots&tubers or starchy roots
13;ORTS;other roots;taro cocoyam;136;roots&tubers or starchy roots
11;YAMS;yams;yam;137;roots&tubers or starchy roots
13;ORTS;other roots;yautia 3;149;roots&tubers or starchy roots
28;SUGC;sugarcane;sugar cane;156;sugar crops
29;SUGB;sugarbeet;sugarbeet;157;sugar crops
42;REST;rest of crops;sugar crops nes;161;other
14;BEAN;bean;beans, dry;176;pulses
19;OPUL;other pulses;broad beans, horse beans, dry;181;pulses
19;OPUL;other pulses;peas, dry;187;pulses
15;CHIC;chickpea;chickpea;191;pulses
16;COWP;cowpea;cowpea;195;pulses
17;PIGE;pigeonpea;pigeon pea;197;pulses
18;LENT;lentil;lentils;201;pulses
19;OPUL;other pulses;bambara beans;203;pulses
19;OPUL;other pulses;vetches;205;pulses
19;OPUL;other pulses;lupins;210;pulses
19;OPUL;other pulses;pulses nes;211;pulses
42;REST;rest of crops;brazil nuts, with shell;216;other
42;REST;rest of crops;cashew nuts, with shell;217;other
42;REST;rest of crops;chestnut;220;other
42;REST;rest of crops;almonds, with shell;221;other
42;REST;rest of crops;walnuts, with shell;222;other
42;REST;rest of crops;pistachios;223;other
42;REST;rest of crops;kola nuts;224;other
42;REST;rest of crops;hazelnuts, with shell;225;other
42;REST;rest of crops;areca nuts;226;other
42;REST;rest of crops;nuts nes;234;other
20;SOYB;soybean;soybean;236;oilcrops
21;GROU;groundnut;groundnut, with shell;242;oilcrops
22;CNUT;coconut;coconut;249;oilcrops
23;OILP;oilpalm;palmoil;254;oilcrops
23;OILP;oilpalm;palm kernels;256;oilcrops
23;OILP;oilpalm;oil, palm;257;oilcrops
27;OOIL;other oil crops;olives;260;oilcrops
27;OOIL;other oil crops;karite nuts (sheanuts);263;oilcrops
27;OOIL;other oil crops;castor oil seed;265;oilcrops
24;SUNF;sunflower;sunflower seed;267;oilcrops
25;RAPE;rapeseed;rapeseed;270;oilcrops
27;OOIL;other oil crops;tung nuts;275;oilcrops
27;OOIL;other oil crops;jojoba seed;277;oilcrops
27;OOIL;other oil crops;safflower seed;280;oilcrops
26;SESA;sesameseed;sesame seed;289;oilcrops
25;RAPE;rapeseed;mustard seed;292;oilcrops
27;OOIL;other oil crops;poppy seed;296;oilcrops
27;OOIL;other oil crops;melonseed;299;oilcrops
27;OOIL;other oil crops;tallowtree seed;305;oilcrops
27;OOIL;other oil crops;kapok fruit;310;oilcrops
27;OOIL;other oil crops;kapokseed in shell;311;oilcrops
30;COTT;cotton;seed cotton;328;fibres
27;OOIL;other oil crops;cottonseed;329;oilcrops
