ID,lon,lat,study_id,bdod_mean_0_5,bdod_mean_15_30,bdod_mean_5_15,cec_mean_0_5,cec_mean_15_30,cec_mean_5_15,clay_mean_0_5,clay_mean_15_30,clay_mean_5_15,ntot_mean_0_5,ntot_mean_15_30,ntot_mean_5_15,phw_mean_0_5,phw_mean_15_30,phw_mean_5_15,sand_mean_0_5,sand_mean_15_30,sand_mean_5_15,silt_mean_0_5,silt_mean_15_30,silt_mean_5_15,soc_mean_0_5,soc_mean_15_30,soc_mean_5_15,pre_mean,tmp_mean,pet_mean,GEnZname,GEnZ,GEnS
1,105.3898,31.22176,1,129,138,131,307,230,274,221,231,220,416,102,143,75,76,76,243,222,236,536,547,544,285,84,110,935.154559106538,16.8270204813793,778.818195895715,N. Hot and dry,N,N2
2,105.3898,31.22176,1,129,138,131,307,230,274,221,231,220,416,102,143,75,76,76,243,222,236,536,547,544,285,84,110,935.154559106538,16.8270204813793,778.818195895715,N. Hot and dry,N,N2
3,118.33,30.91,2,128,147,131,178,152,149,312,302,321,260,91,126,57,58,58,163,168,157,525,530,522,205,124,121,1387.38184433272,16.2421719923126,947.181832519445,K. Warm temperate and mesic,K,K11
4,118.33,30.91,2,128,147,131,178,152,149,312,302,321,260,91,126,57,58,58,163,168,157,525,530,522,205,124,121,1387.38184433272,16.2421719923126,947.181832519445,K. Warm temperate and mesic,K,K11
5,119.6061789364,32.0094186532,3,103.327759197324,116.983277591973,107.692307692308,154.438127090301,132.605351170569,133.240802675585,270.411371237458,286.491638795987,275.133779264214,243.8127090301,84.3110367892977,99.8361204013378,57.2608695652174,59.0869565217391,57.8528428093646,147.85618729097,142.441471571906,146.38127090301,401.133779264214,390.464882943144,397.919732441472,167.317725752508,82.4782608695652,102.899665551839,1114.96668723497,15.9164144134883,958.000015778975,K. Warm temperate and mesic,K,K11
6,119.625789364,32.02434186532,3,128,144,133,198,168,170,311,334,319,225,96,103,70,72,71,158,148,152,532,517,528,119,91,96,1114.96668723497,15.9164144134883,958.000015778975,K. Warm temperate and mesic,K,K11
7,120.0712414757,32.5314815322,3,120,142,129,218,189,195,283,300,291,394,139,200,74,75,74,249,228,237,467,473,471,298,145,134,1073.51517106999,15.5032830682367,962.909106503833,K. Warm temperate and mesic,K,K6
8,120.0636994806,32.540095858,3,120,142,129,218,189,195,283,300,291,394,139,200,74,75,74,249,228,237,467,473,471,298,145,134,1073.51517106999,15.5032830682367,962.909106503833,K. Warm temperate and mesic,K,K6
9,119.48,31.74,3,129,144,132,181,150,150,322,378,338,266,107,124,69,71,70,162,155,165,515,467,497,193,102,117,1182.78184284586,16.293939684132,958.818198063157,K. Warm temperate and mesic,K,K11
10,119.48,31.74,3,129,144,132,181,150,150,322,378,338,266,107,124,69,71,70,162,155,165,515,467,497,193,102,117,1182.78184284586,16.293939684132,958.818198063157,K. Warm temperate and mesic,K,K11
11,119.48,31.74,3,129,144,132,181,150,150,322,378,338,266,107,124,69,71,70,162,155,165,515,467,497,193,102,117,1182.78184284586,16.293939684132,958.818198063157,K. Warm temperate and mesic,K,K11
